case_id,acitivty,date,body_parts,is_fatal,occupation,topics
170089510, Employee Suffers Cuts And Rope Burns As Manlift Cable Breaks ,,,False,,
886085, Fall ,,face,False,,
170697197, Employee Injured When Caught In Conveyor Hold,1993-06-14 00:00:00,"arm, leg",False,,
170196976, Employee'S Arm And Hand Injured By Conveyor Belt/Roller Drum ,1992-09-04 00:00:00,arm,False,,
170200513, Employee Injured When Arm Caught In Oven Conveyor ,1991-05-21 00:00:00,"arm, forearm",False,,
170196331, Employee Suffers Multiple Fractures Due To Rotating Shaft ,1991-03-12 00:00:00,arm,False,,
14541577, Window Washer Fell 25 Floors ,,arm,False,,
202656856, Worker Is Struck By Abrasive Disk From Concrete Machine ,2012-08-20 00:00:00,leg,False,,
202471264, Worker Lacerates Hand On Angle Grinder Used On Concrete ,2012-01-11 00:00:00,,False,,
201185766, Employee'S Arm Is Injured When Abrasive Wheel Fractures ,2011-06-17 00:00:00,"forearm, arm",False,,
202543005, Employee Amputates Hand In Polishing Machine ,2011-04-01 00:00:00,head,False,,
201639994, Abrasive Wheel Cut Off Saw Breaks And Cuts Employee'S Face ,2011-02-03 00:00:00,face,False,,
201509692, Machine Operature Fractures Arm When Struck By Grinder Wheel ,2010-04-12 00:00:00,arm,False,,
170363899, Employee Cuts His Thumb With A Grinding Wheel ,2010-03-08 00:00:00,finger,False,,
202089009, Worker Is Killed While Operating Roll Grinding Machine ,2009-08-27 00:00:00,,True,,
201507597, Employee Injures Eye While Using Wheel Grinding Tool ,2007-05-24 00:00:00,eyelid,False,,
202472957, Employee Amputates Finger On Grinding Wheel ,2006-07-05 00:00:00,finger,False,,
201147584, Employee Injures Finger While Repairing Grinder ,2006-03-01 00:00:00,finger,False,,
201182656, Employee'S Face Is Injured By Flying Object ,2005-07-29 00:00:00,face,False,,
202087102, Employee Is Injured By Abrasive Wheel Fragment ,,,False,,
201145810, Employee Is Injured While Cutting Railing With Angle Grinder ,2004-01-21 00:00:00,,False,,
202352159, Grinding Wheel Strikes Employee Who Is Hospitalized ,2003-07-11 00:00:00,"calf, leg",False,,
201056595, Employee'S Fingers Partially Amputated In Saw ,2002-05-25 00:00:00,finger,False,,
201620762, Employee Struck And Injured By Exploding Abrasive Wheel ,2001-06-13 00:00:00,,False,,
201122769, Employee'S Hand Lacerated By Abrasive Wheel ,2000-07-18 00:00:00,,False,,
201082658, Employee'S Arm Lacerated By Stone Grinder ,2000-07-14 00:00:00,"arm, forearm, head",True,,
202556775, Worker'S Finger Is Broken In Unintended Machine Activation ,2013-09-17 00:00:00,finger,False,,
201694510, Pallet Jack Driver Is Pinned By Truck And Sustains Fractures ,2012-09-30 00:00:00,leg,False,,
201128717, Employee Amputates Finger Cleaning A Sausage Machine ,2011-12-10 00:00:00,finger,False,,
200714269, Employee Is Killed When Crushed By Forklift ,2011-12-09 00:00:00,,True,,
170627087, Employee Is Killed When Struck By Vehicle ,2010-11-14 00:00:00,,True,,
170627020, Employee Is Entangled While Repairing Car  Breaks Neck ,2010-03-17 00:00:00,,False,,
201639051, Employee Is Injured By Backing Trailer ,,,False,,
202551545, Employee'S Leg Is Injured By Moving Cart ,2009-11-15 00:00:00,leg,False,,
201508066, Employee'S Foot Is Injured When Struck By Cart ,2007-10-03 00:00:00,,False,,
202465423, Employee'S Leg Is Pinned By Golf Car ,2007-07-12 00:00:00,leg,False,,
202444501, Employee Is Injured When Pinned Between Wall And Cart ,2006-08-22 00:00:00,"leg, ankle, knee",False,,
202472627, Employee'S Foot Is Crushed While Operating Forklift ,2006-03-08 00:00:00,,False,,
200023158, Employee Dies After Being Struck By Vehicle In Car Wash ,2003-10-08 00:00:00,,True,,
202340824, Employee Of Car Wash Is Dragged By Car And Killed ,2005-07-02 00:00:00,head,True,,
200622819, Employee Is Killed When Crushed By Forklift ,2004-03-09 00:00:00,,True,,
201067444, Employee Dies When Pinned By Golf Cart ,2004-02-08 00:00:00,leg,True,,
201065646, Employee Injured When Struck By Car In Carwash ,2002-11-21 00:00:00,leg,False,,
201621182, Employee'S Foot Crushed By Fork Lift ,2002-10-29 00:00:00,,False,,
200650679, Employee Injured By A Falling Garden Tractor ,2002-06-01 00:00:00,,False,,
201521390, Employee Injured In Fall From Roof ,2001-10-29 00:00:00,,False,,
202478483, Employee Is Burned When Sprayed By Injection Molding Machine ,2012-05-23 00:00:00,"arm, face",False,,
200376002, Four Employees Receive Chemical Burns From Ruptured Valve ,2012-05-19 00:00:00,head,True,,
201076916, Employee Sustains Gunshot Wound While Stowing Gear ,2011-07-09 00:00:00,leg,False,,
200272276, Employee Is Killed When Struck By Closing Lid ,2011-04-17 00:00:00,head,True,,
125676734, Cement Plant Worker Is Seriously Burned By Hot Limestone ,2010-04-12 00:00:00,,False,,
201321528, Foundry Worker Is Burned By Molten Iron  Later Dies ,2010-04-12 00:00:00,,True,,
202456216, Truck Driver Receives Burns To Hands And Arms From Radiator ,2010-04-08 00:00:00,"forearm, arm",False,,
200644565, Pawn Shop Owner Is Accidently Shot And Killed ,2009-10-24 00:00:00,,True,,
200358133, Workers Are Exposed To Ammonia Gas When Off,2009-10-09 18:00:00,,False,,
202529558, Employee Is Burned By Acid When Hose Separates ,2009-07-10 00:00:00,"head, elbow, leg",False,,
202488953, Employee'S Finger Is Injured When Gun Discharges ,2009-07-09 00:00:00,finger,False,,
200358125, Four Workers Are Burned By Acid When Pipe Fails ,2009-06-26 00:00:00,"arm, face",True,,
201344959, Employee Dies After Exposure And Allergic Reaction ,2008-12-10 00:00:00,chest,True,,
201509056, Employee'S Eye Is Burned By Wet Concrete ,2008-09-19 00:00:00,"elbow, face",False,,
201751799, Employee Is Burned By Heated Caustic Solution  Later Dies ,2008-08-12 00:00:00,,True,,
201490083, Employee Is Burned By Hot Liquid From Can,2007-12-14 00:00:00,leg,False,,
202465761, Employee Injured When Nail Gun Accidentally Discharges ,2007-11-14 00:00:00,,False,,
202500682, Employee Killed When Caught Under Stream Of Hot Water ,2007-11-01 00:00:00,,True,,
202447751, Employee'S Arm Burned When Splashed By Hot Tar ,2007-10-11 00:00:00,"arm, forearm",False,,
310813175, Employee Burned When Leaked Gasoline Ignites ,2007-09-04 00:00:00,"chest, head",False,,
202081527, Employee Is Killed When Acetone Catches Fire ,2012-06-29 00:00:00,,True,,
202550034, Employee Suffers Asthma Attack After Exposure To Chemicals ,2009-04-10 00:00:00,chest,False,,
202079570, Eight Employees Are Exposed To Chemical Vapor Release ,,,True,,
201149119, Worker Cleaning Fuel Tank Is Burned When Vapors Ignite ,2007-04-19 00:00:00,"forearm, arm, face",False,,
201148806, Worker Amputates Fingertip In Machine Accident ,2007-01-29 00:00:00,finger,False,,
200072908, Employee Dies From Burns After Acetone Fumes Ignite ,2006-06-07 00:00:00,,True,,
201069606, Worker Is Burned When Open Flame Ignites Acetone ,2006-01-26 00:00:00,"knee, leg",False,,
201167616, One Employee Dies  Two Are Injured In Paint Factory Fire ,2006-01-09 00:00:00,,True,,
201087400, Employee Is Burned In Flammable Vapor Explosion ,2005-10-06 00:00:00,face,False,,
201612819, Employee Loses Consciousness When Exposed To Spray Paint ,2004-10-27 00:00:00,chest,False,,
202338232, Two Employees Are Burned  One Dies When Acetone Ignites ,2003-01-09 00:00:00,,True,,
201485042, Employee Burns Forearms When Chemical Vapors Ignite ,2002-08-06 00:00:00,forearm,False,,
201351244, Three Employees Burned When Acetone Vapors Ignite ,,,False,,
201112737, Employee Burned When Vapors Ignite ,2000-05-08 00:00:00,"face, forearm",False,,
201112612, Employee Hospitalized When Burned By Ignited Acetone ,2000-02-15 00:00:00,face,False,,
200370609, One Employee Killed  Two Injured In Flash Fire ,,,True,,
200370542, Two Employees Burned In Flash Fire On Boat ,,"arm, face",False,,
200120319, One Employee Killed In Spray Booth Explosion And Fire ,1999-03-27 00:00:00,,True,,
201402831, Employees Injured During Explosion ,,,False,,
201111648, Three Employees Injured When Acetone Vapors Ignited ,1999-01-11 00:00:00,,False,,
202545240, Employee Is Caught By Fallen Trellis  Suffers Fractures ,2013-07-09 00:00:00,"face, chest",False,,
202471850, Employee Is Burned While Operating Cutting Torch ,2013-05-17 00:00:00,"forearm, arm, face, chest",False,,
202627550, Employee Is Killed By Falling Pipe ,2011-02-11 00:00:00,,True,,
202089660, Employee Is Injured In Explosion ,2011-02-10 00:00:00,"face, head",False,,
200515229, Employee Is Killed When Crushed Under Collapsed Wall ,2011-01-03 00:00:00,,True,,
200381002, Employee Is Severly Burned In Explosion ,2010-09-22 00:00:00,"arm, face, chest",False,,
202552188, Employee Is Burned While Using Acetylene Torch ,2010-07-15 00:00:00,arm,False,,
200644904, Worker Using Cutting Torch Is Killed When Tank Explodes ,,,True,,
202455911, Employee Is Injured In Fall From Scissor Lift ,2009-10-02 00:00:00,,False,,
202573705, Two Employees' Faces Are Burned When Motor Oil Ignites ,2009-07-02 00:00:00,face,False,,
200841815, Employee Dies After Fall Through Floor Opening ,2009-06-03 00:00:00,face,True,,
201022225, Employee Is Injured When Struck By Metal Door ,2009-05-18 00:00:00,"leg, knee",False,,
202489258, Employee Receives Burns Using Cutting Torch ,2009-04-17 00:00:00,arm,False,,
201562261, Employee Contacts Torch Flame  Is Burned  Later Dies ,2009-03-13 00:00:00,leg,True,,
200555605, One Employee Is Killed And Injured In Explosion ,2009-03-10 00:00:00,"arm, face",True,,
202467858, Employee Receives 2nd And 3rd Degree Burns From Flash Fire ,2009-03-03 00:00:00,"arm, chest",False,,
202529343, Employee Is Burned While Cutting Top Off Drum ,2009-01-15 00:00:00,"arm, face",False,,
201702628, Employee Is Killed In Fire In Water Tank Truck ,2008-10-02 00:00:00,,True,,
200103190, Employee Is Burned By Acetylene Explosion ,2008-03-26 00:00:00,face,False,,
200531903, Employee Is Crushed And Asphyxiated By Falling Rail Car Wall ,2007-10-07 00:00:00,,False,,
201126406, Employee Burned When Natural Gas Line Ignites And Explodes ,2007-08-23 00:00:00,,False,,
201089182, Employee Is Killed In Explosion ,2007-05-11 00:00:00,,True,,
201954971, One Employee Dies  One Is Injured In Tire Explosion ,2007-03-03 00:00:00,leg,True,,
201078409, Employee'S Fractures Leg When Acrylic Glass Panel Collapses ,2012-10-30 00:00:00,"leg, chest",False,,
201953429, Employee Killed In Explosion Of Charge Tank ,2003-04-02 00:00:00,,True,,
200080265, Employees Evacuated Following Spill In Polymerization Unit ,1999-06-11 00:00:00,,False,,
14461636, Intoxicated By Acrylic Monomer ,1985-10-08 00:00:00,,False,,
202546461, Employee Falls Off Ladder  Injures Back And Pelvis ,2013-11-05 00:00:00,,False,,
201623766, Employee Is Struck And Killed By Falling Highway Board Sign ,2013-08-14 00:00:00,,True,,
201045069, Worker Suffers Fracture In Fall While Removing Casino Sign ,2013-08-01 00:00:00,mouth,False,,
315964536, Electric Shock ,2012-04-03 00:00:00,,False,,
200714335, Employee Is Killed In Fall From Billboard ,2012-02-22 00:00:00,,True,,
202614012, Employee Fractures Leg In Fall Off Guardrail ,2011-09-28 00:00:00,"heel, leg",False,,
202542627, Employee Is Exposed To Toxic Fumes ,2010-11-01 00:00:00,,False,,
200713980, Employer Is Killed While Erecting Billboard ,2010-09-10 00:00:00,,True,,
202599973, Employee'S Wrist Is Fractured In Fall From Ladder ,2009-11-23 00:00:00,,False,,
202601282, Employee Is Injured In Fall From Ladder ,2009-11-03 00:00:00,"chin, face",False,,
102269925, Employee Is Injured In Aerial Lift Collapse ,2009-09-19 00:00:00,face,False,,
202449898, Employee Is Injured In Fall From Storefront Awning ,2008-08-06 00:00:00,,False,,
202080222, Employee Is Killed By Fall And Impalement ,2008-01-07 00:00:00,,True,,
202517009, Employee'S Fingertip Amputated By Falling Toad Sign ,2007-09-24 00:00:00,"finger, leg",False,,
201183878, Worker Seriously Injured By Contracting Boom ,2007-09-10 00:00:00,face,False,,
200023273, Employee Is Killed In Fall From Billboard Ladder ,,face,True,,
201088705, Employee Is Injured In Fall From Mobile Stair ,2006-11-08 00:00:00,leg,False,,
200032803, Employee Electrocuted While Painting Outdoor Sign ,2006-09-15 00:00:00,,False,,
200603355, Employee Is Killed In Fall From Aerial Ladder ,2006-08-22 00:00:00,,True,,
201353208, Employee Is Killed In Fall From Billboard Catwalk ,2006-08-22 00:00:00,head,True,,
201079605, Employee Is Killed When Struck By Tree Limb ,2013-11-12 00:00:00,"forehead, head",True,,
200376655, Employee Is Struck And Killed By I,2013-11-07 00:00:00,"arm, head, chest",True,,
200376549, Employee Falls And Is Killed When Struck By Forklift ,2013-09-26 00:00:00,head,True,,
200515914, Three Workers Are Injured When Struck By Collapsing Trusses ,2013-09-20 00:00:00,"face, leg, chest",False,,
201408671, Painter Falls From Lift  Injures Head  And Dies ,2013-08-19 00:00:00,"arm, leg, head",True,,
201129889, Worker'S Face Is Crushed Between Scissor Lift And Pipe ,2012-10-16 00:00:00,face,False,,
200626950, Supervisor Is Ejected From Aerial Lift And Killed In Fall ,2013-07-15 00:00:00,,True,,
200376374, Tree Worker Is Killed When Tree Falls Into Aerial Lift Boom ,2013-06-17 00:00:00,face,True,,
202556452, Carpenter Sustains Laceration When Saw Kicks Back ,2013-06-17 00:00:00,,False,,
170784722, Employee Suffers Leg Injury In Basket Lift Incident ,2013-06-14 00:00:00,"leg, knee",False,,
201498094, Employee Falls From Aerial Manlift ,2013-05-29 00:00:00,head,False,,
201079027, Employee Gets Finger Amputation ,2013-05-22 00:00:00,finger,False,,
202588711, Employee Falls From A Roof ,2013-05-21 00:00:00,,False,,
200075323, Employee Is Killed When Lift Bucket Falls Into Creek ,2013-05-13 00:00:00,,True,,
202556726, Drywall Installer Falls From Scissor Lift And Injures Head ,2013-05-07 00:00:00,"forehead, head",False,,
202570321, Two Employees Receive Electric Shock  One Is Killed ,2013-04-10 00:00:00,,True,,
202544979, Worker In Aerial Lift Amputates Tip Of Index Finger ,2013-04-02 00:00:00,finger,False,,
202654323, Employee Suffers Multiple Fractues In Fall From Scissor Lift ,2013-03-30 00:00:00,,False,,
202637138, Employee Installing Light Fixture Is Electrocuted ,2013-03-18 00:00:00,,False,,
202657862, Worker'S Ankle Is Fractured When Aerial Lift Falls Into Pit ,2013-03-12 00:00:00,ankle,False,,
202522462, Employee'S Arm Fractures Between Truck'S Lift And Bucket ,2012-04-30 00:00:00,arm,False,,
200213098, Employee Is Killed When Thrown From Aerial Work Platform ,2012-03-02 00:00:00,,True,,
200571636, Electrician Is Electrocuted While Removing Fixture ,2011-08-18 00:00:00,,False,,
201925344, Employee Dies When Pinned Inside Aerial Lift Platform ,2010-12-01 00:00:00,,True,,
200103778, Employee Is Killed When Pinned By Aerial Lift ,2010-11-10 00:00:00,chest,True,,
200813103, Worker Is Killed In Fall From Bucket Of Aerial Lift ,2010-10-28 00:00:00,arm,True,,
202607982, Workerr Contacts High Voltage Line  Gets Shocked And Burned ,2010-01-05 00:00:00,,False,,
202089090, Employee Is Killed In Fall From Aerial Lift ,2009-11-05 00:00:00,,True,,
200677805, Employee Dies When Crushed By Aerial Lift ,2009-06-06 00:00:00,,True,,
171044969, Lineman Tree Trimming Is Electrocuted By Overhead Power Line ,2008-07-09 00:00:00,,False,,
202472338, Employee Killed When Crushed Between Aerial Basket And Wall ,2008-01-15 00:00:00,,True,,
200151249, Employee Killed When Crushed Between Lift Controls And Beam ,2007-08-07 00:00:00,,True,,
202501458, Two Injured When Caught Between Boom Basket And Wall ,2007-07-18 00:00:00,"face, head",False,,
202446191, One Employee Killed  One Injured When Caught By Lift Basket ,2007-07-07 00:00:00,"arm, chest",True,,
200603538, Employee Is Killed When Pinned By Aerial Lift ,2006-12-21 00:00:00,chest,True,,
201923901, Employee Installing Beam Is Pinned In Aerial Lift And Killed ,2006-07-21 00:00:00,,True,,
201488897, Employee Is Asphyxiated While Working From Aerial Lift ,2007-04-27 00:00:00,"face, chest",False,,
170761514, Employee Is Killed When Pinned In Aerial Lift ,,,True,,
202458832, Farm Worker Falls In A Depresion In A Field  Fractures Leg ,2013-11-15 00:00:00,leg,False,,
200515997, Worker Run Over While Servicing A Piece Of Farm Equipment ,2013-11-01 00:00:00,,False,,
200516003, Racehorse Kicks Horse Groomer  Who Later Dies From Injuries ,2013-09-30 00:00:00,chest,True,,
202675674, Worker Injured When Utility Vehicle Crashes Into Ag Tractor ,2013-09-30 00:00:00,head,False,,
202615043, Tractor Operator Is Crushed And Killed In Tractor Roll,2013-09-04 00:00:00,,True,,
202692141, Worker Slips And Falls While Mopping Floor  Suffers Fracture ,2013-08-22 00:00:00,,False,,
202458618, Grape Farm Worker Fractures Arm While Dismounting Tractor ,2013-08-23 00:00:00,arm,False,,
202692562, Dairy Truck Driver Burns Eyes When Sprayed With Acid ,2013-08-21 00:00:00,,False,,
202692380, Trailer Fire Causes Burns To Upper Body Of Worker ,2013-08-01 00:00:00,,False,,
202458568, Worker Suffers Heat Illness While Removing Almonds From Tree ,2013-08-01 00:00:00,,False,,
202657466, Roof Truss Falls And Kills Worker At Dairy Farm ,2013-08-01 00:00:00,head,False,,
202458279, Employee Is Found Dead In Truck From Drug Overdose ,2013-07-26 00:00:00,head,True,,
202654612, Employee Falls Sick While Picking Lettuce ,2013-07-03 00:00:00,,False,,
202556361, Employee Falls Ill While Collecting Almonds ,2013-06-28 00:00:00,,False,,
202691580, Laborer Punctures Arm On Tree Branch In Fall From Ladder ,2013-06-16 00:00:00,arm,False,,
202692166, Worker Sustains Fracture When Struck By Forklift ,2013-06-18 00:00:00,"leg, ankle",False,,
202523833, Farm Worker Sustains Fractures From Fall Or Being Run Over ,2013-06-17 00:00:00,"leg, ankle, chest",False,,
201498243, Employee Is Injured Falling From Ladder ,2013-06-14 00:00:00,,False,,
202686580, Employee Dies From Preexisting Condition ,2013-05-31 00:00:00,,True,,
201498201, Worker Falls From Barn'S Roof And Fractures Neck ,2013-05-13 00:00:00,,False,,
200515849, Employee Is Crushed By Van And Killed ,2013-06-06 00:00:00,,True,,
200626927, Employee Falls While Lifting Equipment  Later Dies ,2013-06-06 00:00:00,,True,,
201078961, Employee Falls From An A,2013-04-20 00:00:00,head,False,,
202509840, Employee Falls From Fixed Roof Ladder  Sustains Fractures ,2013-04-10 00:00:00,,False,,
202587895, Hvac Installer Is Seriously Injured In Fall From Roof ,2012-10-26 00:00:00,,False,,
202587986, Maintenance Worker Fractures Leg In Fall From Ladder ,2012-10-24 00:00:00,leg,False,,
200042109, Technician Dies Of Pulmonary Embolism After Fall From Ladder ,2012-11-04 00:00:00,head,True,,
202478640, Worker Fractures Ribs And Leg In Fall From Ladder ,2012-08-21 00:00:00,leg,False,,
202653960, Employee Amputates Fingertip In Fan Belt ,2012-08-14 00:00:00,,False,,
202655080, Employee Amputates Finger Between Handle And Slot Edge ,2012-06-19 00:00:00,finger,False,,
202493094, Employee Faints In Non Air Conditioned Kitchen ,2012-04-21 00:00:00,,False,,
202471041, Worker Falls Through Skylight And Is Killed ,2012-04-03 00:00:00,,True,,
202457644, Hvac Mechanic Is Severely Injured By Rotating Shaft ,2012-02-27 00:00:00,"face, head",False,,
200452894, Electric Shock ,2011-10-17 00:00:00,,False,,
202553525, Worker Amputates Fingertip While Servicing Air Conditioner ,2011-10-14 00:00:00,finger,False,,
200171080, Electric Shock ,,,False,,
200556546, Electric Shock ,,,False,,
202561254, Employee Is Electrocuted After Contacting Heater Coils ,2011-06-13 00:00:00,,False,,
201494978, Employee Fractures Leg When Struck By Falling Equipment ,2011-03-14 00:00:00,leg,False,,
200264091, Employee Is Killed In Fall From Height ,2011-01-04 00:00:00,,True,,
202531273, Employee Is Exposed To Psyllium Dust  Suffers Asthma Attack ,2012-09-11 00:00:00,,False,,
201496809, Employee Is Killed From Ammonia Release ,2012-09-11 00:00:00,,True,,
202081337, Workers Are Overcome By Carbon Monoxide Poisoning ,2012-02-27 00:00:00,,False,,
202561353, Employee Is Exposed To Anhydrous Ammonia ,2011-12-02 00:00:00,,False,,
200041911, Employee Is Killed When Exposed To Airborne Fungus ,2011-11-15 00:00:00,,True,,
202005492, Employee Is Asphyxiated By Freon ,2011-05-07 00:00:00,face,False,,
202601936, Employee Is Exposed To Cleaning Agent  Later Dies ,2011-03-13 00:00:00,,True,,
200074615, One Employee Is Killed  Two Hospitalized In Manhole Accident ,2011-01-05 00:00:00,,True,,
200998474, Five Employees Are Over Exposed To Carbon Monoxide ,2010-11-11 00:00:00,,True,,
201925179, Employee Is Killed When Asphyxiated In Oil Storage Tank ,2010-07-08 00:00:00,,True,,
200533438, Sixteen Employees Are Exposed To Ammonia Release ,2010-03-26 00:00:00,,True,,
200625614, Employee Is Asphyxiated By Heptane ,2010-02-02 00:00:00,,False,,
202520045, Employees Are Exposed To Carbon Monoxide  No Fatalities ,2010-02-01 00:00:00,,False,,
200074367, Employee Is Asphyxiated By Carbon Monoxide Exposure ,2010-01-30 00:00:00,,False,,
202541322, Two Employees Are Burned When Flammable Vapors Explode ,2009-09-29 00:00:00,face,False,,
202585857, Employee Is Injured By Air Freshener ,2009-03-25 00:00:00,,False,,
202585808, Employee Is Injured By Air Freshener ,2009-03-25 00:00:00,,False,,
202506952, Employee With Lung Condition Is Possibly Exposed To Mold ,2008-11-24 00:00:00,,False,,
201497252, Employee Fractures Leg When He Tripped Over Air Hose ,2012-11-15 00:00:00,leg,False,,
202587929, Employee Suffers Fractures When Blown Into A Forklift ,2012-11-12 00:00:00,,False,,
200535250, Employee Amputates Finger On Food Product Auger ,2012-06-25 00:00:00,finger,False,,
